167,"KRATKOROčNE TERJATVE ZA DDV, PLAČAN V TUJINI"
169,OSLABITEV VREDNOSTI DRUGIH KRATKOROčNIH TERJATEV
169000,Oslabitev vrednosti drugih kratkoročnih terjatev 
17,"KRATKOROčNE FINANčNE NALOŽBE, RAZEN POSOJIL"
170,KRATKOROČNE FIN. NALOŽBE V DELNICE IN DELEŽE ORGANIZACIJ V ORGANIZACIJAH V SKUPINI PO NABAVNI VREDNOSTI
173,"DRUGI DELEŽI, KUPLJENI ZA PRODAJO"
176,DRUGE KRATKOROčNE FIN. NALOŽBE
177,DRUGE KRAT.FIN.NALOŽBE PO POŠTENI VREDNOSTI PREKO POSLOVNEGA IZDIDA
178,DRUGE KRAT.FIN.NALOŽBE PO POŠTENI VREDNOSTI PREKO KAPITALA OZIROMA LASTNEGA VIRA SREDSTEV
179,OSLABITEV VREDNOSTI KRATKOROčNIH FINANčNIH NALOŽB 
179000,OSLABITEV VREDNOSTI KRATKOROčNIH FINANčNIH NALOŽB 
18,KRATKOROČNA POSOJILA IN KRATKOROČNE TERJATVE ZA NEVPLAČANI KAPITAL
180,"KRAT. POSOJILA, NA PODLAGI POSOJILNIH POGODB ORGANIZACIJAM V SKUPINI"
180000,Kratkoročna posojila na podlagi posojilnih pogodb
181,"KRATKOROčNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODB, PRIDRUŽENIM ORGANIZACIJAM"
182,"KRATKOROčNA POSOJILA, DANA DRUGIM, VKLJUČNO S KRAT.TERJATVAMI IZ FINANČNEGA NAJEMA"
183,KRATKOROčNI DEPOZITI V BANKAH IN DRUGIH FINANčNIH ORGANIZ.
184,DANA KRATKOROčNA  POSOJILA Z ODKUPOM OBVEZNIC
185,PREJETE MENICE
185000,Prejete menice
186,DANA KRATKOROČNA POSOJILA Z ODKUPOM DRUGIH DOLŽNIŠKIH VREDNOSTNIH PAPIRJEV
186000,Kratkoročno dana posojila z odkupom drugih dolžniških vrednostnih papirjev
187,KRATKOROČNO NEVPLAČANI VPOKLICANI KAPITAL
187000,Kratkoročno nevplačani vpoklicani kapital
189,OSLABITEV VREDNOSTI KRATKOROčNIH POSOJIL
189000,Oslabitev vrednosti kratkoročnih posojil
19,AKTIVNE čASOVNE RAZMEJITVE
190,KRATKOROčNO ODLOŽENI STROŠKI OZIROMA ODHODKI
190000,Kratkoročno odloženi stroški oziroma odhodki
191,KRATKOROčNO NEZARAčUNANI PRIHODKI
191000,Kratkoročno nezaračunani prihodki
192,VREDNOTNICE
192000,Vrednotnice
195,DDV OD PREJETIH PREDUJMOV
195000,DDV od prejetih predujmov
2,KRATKOROčNE OBVEZNOSTI (DOLGOVI) IN PČR
21,"OBVEZNOSTI, VKLJUčENE V SKUPINE ZA ODTUJITEV"
210,"OBVEZNOSTI, VKLJUčENE V SKUPINE ZA ODTUJITEV"
22,KRATKOROčNE OBVEZNOSTI DO DOBAVITELJEV
220,KRATKOROčNE OBVEZNOSTI DO DOBAVITELJEV V DRŽAVI
220000,Kratkoročne obveznosti do dobaviteljev v državi
221,KRATKOROčNE OBVEZNOSTI DO DOBAVITELJEV V TUJINI
221000,Kratkoročne obveznosti do dobaviteljev v tujini
222,"KRATKOROčNI BLAGOVNI KREDITI, PREJETI V DRŽAVI"
222000,"Kratkoročni blagovni krediti, prejeti v državi"
223,"KRATKOROčNI BLAGOVNI KREDITI, PREJETI V TUJINI"
223000,"Kratkoročni blagovni krediti, prejeti v tujini"
224,KRATKOROčNE OBVEZNOSTI ZA NEZARAčUNANO BLAGO IN STORITVE
224000,Kratkoročne obveznosti za nezaračunano blago in storitve
23,KRATKOROčNE OBVEZNOSTI ZA PREJETE PREDUJME IN VARŠčINE
230,KRATKOROčNI PREJETI PREDUJMI
230000,Kratkoročni prejeti predujmi
231,KRATKOROčNE PREJETE VARŠčINE
231000,Kratkoročne prejete varščine
24,KRATKOROčNE OBVEZNOSTI IZ POSLOVANJA ZA TUJ RAčUN
240,KRATKOROčNE OBVEZNOSTI IZ IZVOZA ZA TUJ RAčUN
240000,Kratkoročne obveznosti iz izvoza za tuj račun
241,KRATKOROčNE OBVEZNOSTI DO UVOZNIKOV
241000,Kratkoročne obveznosti do uvoznikov
242,KRATKOROčNE OBVEZNOSTI IZ KOMISIJSKE IN KONSIGNAC.PRODAJE
242000,Kratkoročne obveznosti iz komisijske in konsignac.prodaje
245,DRUGE KRATKOROčNE OBVEZNOSTI IZ POSLOVANJA ZA TUJ RAčUN
245000,Druge kratkoročne obveznosti iz poslovanja za tuj račun
25,KRATKOROčNE OBVEZNOSTI ZA PLAČE
250,OBVEZNOSTI ZA VRAčUNANE IN NEOBRAčUNANE PLAčE
250000,Obveznosti za vračunane in neobračunane plače
250001,Obveznosti za vračunan in neobračunan regres
250200,Obveznosti za prostovoljno pokojn.zavarovanje
251,OBVEZNOSTI ZA čISTE PLAčE IN NADOMESTILA PLAč
251000,Obveznosti za čiste plače in nadomestila plač
251100,Obveznosti za čiste plače zaposlencev
251200,Obveznosti za nadomestila čistih plač zaposlencev
251300,Obveznosti za čisti regres zaposlencev
251400,Obveznosti za materialna nadomestila zaposlencev
251410,Obveznosti za prehrano zaposlencev
251420,Obveznosti za prevoz na delo zaposlencev
251430,Obveznosti za druga materialna nadomestila zaposlencem
251500,Obveznosti za izplačilo najemnin
251600,Obveznosti za izplačilo avtorskega honorarja
252,KRAT.OBVEZNOSTI ZA PRISPEVKE ZA SOC. VARNOST
253,KRAT. OBVEZNOSTI ZA PRISPEVKE IZ BRUTO PLAČ IN NADOMESTIL PLAČ
253000,Obveznosti za prispevke izbruto plač in nadomestil plač
